country,incomeperperson,internetuserate
Swaziland,1810.230533,9.007735909
Sweden,32292.48298,90.01619002
Switzerland,37662.75125,82.16665988
Syria,1525.780116,20.66315568
Taiwan,13369.79592,80.7
Tajikistan,279.1804526,11.54939051
Tanzania,456.3857117,11.00005544
Thailand,2712.517199,21.20007177
Timor-Leste,369.5729537,0.210066326
Togo,285.2244493,5.379819715
Tonga,2025.282665,12.00669231
Trinidad and Tobago,10480.8172,48.51681767
Tunisia,3164.927693,36.56255296
Turkey,5348.597192,39.82017789
Turkmenistan,2062.125152,2.199997818
Tuvalu,1714.94289,25.2
Uganda,377.4211133,12.50025543
Ukraine,1036.830725,44.58535469
United Arab Emirates,21087.39412,77.99678115
United Kingdom,28033.48928,84.73170475
United States,37491.17952,74.247572
Uruguay,9106.327234,47.86746863
Uzbekistan,952.8272608,19.44502055
Vanuatu,1543.956457,7.988366667
Venezuela,5528.363114,35.85043696
Vietnam,722.8075588,27.85182156
West Bank and Gaza,1546.5306,36.42277179
Yemen,610.3573673,12.34975046
Zambia,432.226337,10.12498646
Zimbabwe,320.7718899,11.50041532
